Position,code,Geography,Treatment,vialnum,Sex,exp,cfuA,cfuL,repexp,total,GT,Bacteria,Replicate,Duplicate,SortOrder,Plate,Side,type
219,L Choice NA 1 NA 2497 4 Diet 1 L,L,Choice,L Choice NA 1 NA 2497 4 Diet 1 L,NA,4,1628160,125,L Choice NA 1 NA 2497 4 Diet 1 L,1628285,LChoice,CV,1,NA,2497,Diet 1,L,diet
221,L Choice NA 1 NA 2499 4 Diet 1 L,L,Choice,L Choice NA 1 NA 2499 4 Diet 1 L,NA,4,52101120,300,L Choice NA 1 NA 2499 4 Diet 1 L,52101420,LChoice,CV,1,NA,2499,Diet 1,L,diet
431,L Control F 1 NA 2704 4 Flies 2 NA,L,Control,L Control F 1 NA 2704 4 Flies 2 NA,F,4,1170240,0,L Control F 1 NA 2704 4 Flies 2 NA,1170240,LControl,CV,1,NA,2704,Flies 2,NA,fly
433,L Control F 1 NA 2706 4 Flies 2 NA,L,Control,L Control F 1 NA 2706 4 Flies 2 NA,F,4,1373760,0,L Control F 1 NA 2706 4 Flies 2 NA,1373760,LControl,CV,1,NA,2706,Flies 2,NA,fly
435,L Control F 1 NA 2708 4 Flies 2 NA,L,Control,L Control F 1 NA 2708 4 Flies 2 NA,F,4,966720,0,L Control F 1 NA 2708 4 Flies 2 NA,966720,LControl,CV,1,NA,2708,Flies 2,NA,fly
425,L Control M 1 NA 2698 4 Flies 2 NA,L,Control,L Control M 1 NA 2698 4 Flies 2 NA,M,4,992160,0,L Control M 1 NA 2698 4 Flies 2 NA,992160,LControl,CV,1,NA,2698,Flies 2,NA,fly
427,L Control M 1 NA 2700 4 Flies 2 NA,L,Control,L Control M 1 NA 2700 4 Flies 2 NA,M,4,381600,0,L Control M 1 NA 2700 4 Flies 2 NA,381600,LControl,CV,1,NA,2700,Flies 2,NA,fly
429,L Control M 1 NA 2702 4 Flies 2 NA,L,Control,L Control M 1 NA 2702 4 Flies 2 NA,M,4,559680,0,L Control M 1 NA 2702 4 Flies 2 NA,559680,LControl,CV,1,NA,2702,Flies 2,NA,fly
609,L Control NA 1 NA 2877 4 Diet 2 NA,L,Control,L Control NA 1 NA 2877 4 Diet 2 NA,NA,4,47216640,0,L Control NA 1 NA 2877 4 Diet 2 NA,47216640,LControl,CV,1,NA,2877,Diet 2,NA,diet
611,L Control NA 1 NA 2879 4 Diet 2 NA,L,Control,L Control NA 1 NA 2879 4 Diet 2 NA,NA,4,43960320,0,L Control NA 1 NA 2879 4 Diet 2 NA,43960320,LControl,CV,1,NA,2879,Diet 2,NA,diet
613,L Control NA 1 NA 2881 4 Diet 2 NA,L,Control,L Control NA 1 NA 2881 4 Diet 2 NA,NA,4,39075840,0,L Control NA 1 NA 2881 4 Diet 2 NA,39075840,LControl,CV,1,NA,2881,Diet 2,NA,diet
615,L Control NA 1 NA 2883 4 Diet 2 NA,L,Control,L Control NA 1 NA 2883 4 Diet 2 NA,NA,4,40704000,0,L Control NA 1 NA 2883 4 Diet 2 NA,40704000,LControl,CV,1,NA,2883,Diet 2,NA,diet
617,L Control NA 1 NA 2885 4 Diet 2 NA,L,Control,L Control NA 1 NA 2885 4 Diet 2 NA,NA,4,63498240,0,L Control NA 1 NA 2885 4 Diet 2 NA,63498240,LControl,CV,1,NA,2885,Diet 2,NA,diet
619,L Control NA 1 NA 2887 4 Diet 2 NA,L,Control,L Control NA 1 NA 2887 4 Diet 2 NA,NA,4,29306880,0,L Control NA 1 NA 2887 4 Diet 2 NA,29306880,LControl,CV,1,NA,2887,Diet 2,NA,diet
65,MD Choice M 1 NA 2349 4 Flies 1 NA,MD,Choice,MD Choice M 1 NA 2349 4 Flies 1 NA,M,4,534240,400,MD Choice M 1 NA 2349 4 Flies 1 NA,534640,MDChoice,CV,1,NA,2349,Flies 1,NA,fly
67,MD Choice M 1 NA 2351 4 Flies 1 NA,MD,Choice,MD Choice M 1 NA 2351 4 Flies 1 NA,M,4,12720,325,MD Choice M 1 NA 2351 4 Flies 1 NA,13045,MDChoice,CV,1,NA,2351,Flies 1,NA,fly
43,MD Control F 1 NA 2328 4 Flies 1 NA,MD,Control,MD Control F 1 NA 2328 4 Flies 1 NA,F,4,95400,625,MD Control F 1 NA 2328 4 Flies 1 NA,96025,MDControl,CV,1,NA,2328,Flies 1,NA,fly
45,MD Control F 1 NA 2330 4 Flies 1 NA,MD,Control,MD Control F 1 NA 2330 4 Flies 1 NA,F,4,168540,300,MD Control F 1 NA 2330 4 Flies 1 NA,168840,MDControl,CV,1,NA,2330,Flies 1,NA,fly
47,MD Control F 1 NA 2332 4 Flies 1 NA,MD,Control,MD Control F 1 NA 2332 4 Flies 1 NA,F,4,165360,0,MD Control F 1 NA 2332 4 Flies 1 NA,165360,MDControl,CV,1,NA,2332,Flies 1,NA,fly
37,MD Control M 1 NA 2322 4 Flies 1 NA,MD,Control,MD Control M 1 NA 2322 4 Flies 1 NA,M,4,47700,0,MD Control M 1 NA 2322 4 Flies 1 NA,47700,MDControl,CV,1,NA,2322,Flies 1,NA,fly
39,MD Control M 1 NA 2324 4 Flies 1 NA,MD,Control,MD Control M 1 NA 2324 4 Flies 1 NA,M,4,69960,0,MD Control M 1 NA 2324 4 Flies 1 NA,69960,MDControl,CV,1,NA,2324,Flies 1,NA,fly
41,MD Control M 1 NA 2326 4 Flies 1 NA,MD,Control,MD Control M 1 NA 2326 4 Flies 1 NA,M,4,788640,25,MD Control M 1 NA 2326 4 Flies 1 NA,788665,MDControl,CV,1,NA,2326,Flies 1,NA,fly
223,MD Control NA 1 NA 2501 4 Diet 1 NA,MD,Control,MD Control NA 1 NA 2501 4 Diet 1 NA,NA,4,50472960,0,MD Control NA 1 NA 2501 4 Diet 1 NA,50472960,MDControl,CV,1,NA,2501,Diet 1,NA,diet
225,MD Control NA 1 NA 2503 4 Diet 1 NA,MD,Control,MD Control NA 1 NA 2503 4 Diet 1 NA,NA,4,84664320,0,MD Control NA 1 NA 2503 4 Diet 1 NA,84664320,MDControl,CV,1,NA,2503,Diet 1,NA,diet
227,MD Control NA 1 NA 2505 4 Diet 1 NA,MD,Control,MD Control NA 1 NA 2505 4 Diet 1 NA,NA,4,40704000,0,MD Control NA 1 NA 2505 4 Diet 1 NA,40704000,MDControl,CV,1,NA,2505,Diet 1,NA,diet
229,MD Control NA 1 NA 2507 4 Diet 1 NA,MD,Control,MD Control NA 1 NA 2507 4 Diet 1 NA,NA,4,53729280,25,MD Control NA 1 NA 2507 4 Diet 1 NA,53729305,MDControl,CV,1,NA,2507,Diet 1,NA,diet
231,MD Control NA 1 NA 2509 4 Diet 1 NA,MD,Control,MD Control NA 1 NA 2509 4 Diet 1 NA,NA,4,26050560,0,MD Control NA 1 NA 2509 4 Diet 1 NA,26050560,MDControl,CV,1,NA,2509,Diet 1,NA,diet
233,MD Control NA 1 NA 2511 4 Diet 1 NA,MD,Control,MD Control NA 1 NA 2511 4 Diet 1 NA,NA,4,79779840,0,MD Control NA 1 NA 2511 4 Diet 1 NA,79779840,MDControl,CV,1,NA,2511,Diet 1,NA,diet
125,PA Choice F 1 NA 125 1 Flies 1 NA,PA,Choice,PA Choice F 1 NA 125 1 Flies 1 NA,F,1,203520,375,PA Choice F 1 NA 125 1 Flies 1 NA,203895,PAChoice,LAB,1,NA,125,Flies 1,NA,fly
127,PA Choice F 1 NA 127 1 Flies 1 NA,PA,Choice,PA Choice F 1 NA 127 1 Flies 1 NA,F,1,1882560,1475,PA Choice F 1 NA 127 1 Flies 1 NA,1884035,PAChoice,LAB,1,NA,127,Flies 1,NA,fly
129,PA Choice F 1 NA 129 1 Flies 1 NA,PA,Choice,PA Choice F 1 NA 129 1 Flies 1 NA,F,1,1704480,550,PA Choice F 1 NA 129 1 Flies 1 NA,1705030,PAChoice,LAB,1,NA,129,Flies 1,NA,fly
403,PA Choice F 1 NA 403 1 Flies 2 NA,PA,Choice,PA Choice F 1 NA 403 1 Flies 2 NA,F,1,76320,350,PA Choice F 1 NA 403 1 Flies 2 NA,76670,PAChoice,AAB,1,NA,403,Flies 2,NA,fly
405,PA Choice F 1 NA 405 1 Flies 2 NA,PA,Choice,PA Choice F 1 NA 405 1 Flies 2 NA,F,1,108120,25,PA Choice F 1 NA 405 1 Flies 2 NA,108145,PAChoice,AAB,1,NA,405,Flies 2,NA,fly
407,PA Choice F 1 NA 407 1 Flies 2 NA,PA,Choice,PA Choice F 1 NA 407 1 Flies 2 NA,F,1,101760,350,PA Choice F 1 NA 407 1 Flies 2 NA,102110,PAChoice,AAB,1,NA,407,Flies 2,NA,fly
553,PA Choice F 1 NA 552 1 Flies 2 NA,PA,Choice,PA Choice F 1 NA 552 1 Flies 2 NA,F,1,57240,3577.5,PA Choice F 1 NA 552 1 Flies 2 NA,60817.5,PAChoice,X,1,NA,552,Flies 2,NA,fly
555,PA Choice F 1 NA 554 1 Flies 2 NA,PA,Choice,PA Choice F 1 NA 554 1 Flies 2 NA,F,1,60420,1590,PA Choice F 1 NA 554 1 Flies 2 NA,62010,PAChoice,X,1,NA,554,Flies 2,NA,fly
557,PA Choice F 1 NA 556 1 Flies 2 NA,PA,Choice,PA Choice F 1 NA 556 1 Flies 2 NA,F,1,95400,275,PA Choice F 1 NA 556 1 Flies 2 NA,95675,PAChoice,X,1,NA,556,Flies 2,NA,fly
803,PA Choice F 1 NA 802 1 Flies 3 NA,PA,Choice,PA Choice F 1 NA 802 1 Flies 3 NA,F,1,457920,8745,PA Choice F 1 NA 802 1 Flies 3 NA,466665,PAChoice,G,1,NA,802,Flies 3,NA,fly
805,PA Choice F 1 NA 804 1 Flies 3 NA,PA,Choice,PA Choice F 1 NA 804 1 Flies 3 NA,F,1,457920,31800,PA Choice F 1 NA 804 1 Flies 3 NA,489720,PAChoice,G,1,NA,804,Flies 3,NA,fly
807,PA Choice F 1 NA 806 1 Flies 3 NA,PA,Choice,PA Choice F 1 NA 806 1 Flies 3 NA,F,1,1399200,4770,PA Choice F 1 NA 806 1 Flies 3 NA,1403970,PAChoice,G,1,NA,806,Flies 3,NA,fly
59,PA Choice F 1 NA 2343 4 Flies 1 NA,PA,Choice,PA Choice F 1 NA 2343 4 Flies 1 NA,F,4,127200,200,PA Choice F 1 NA 2343 4 Flies 1 NA,127400,PAChoice,CV,1,NA,2343,Flies 1,NA,fly
61,PA Choice F 1 NA 2345 4 Flies 1 NA,PA,Choice,PA Choice F 1 NA 2345 4 Flies 1 NA,F,4,407040,175,PA Choice F 1 NA 2345 4 Flies 1 NA,407215,PAChoice,CV,1,NA,2345,Flies 1,NA,fly
63,PA Choice F 1 NA 2347 4 Flies 1 NA,PA,Choice,PA Choice F 1 NA 2347 4 Flies 1 NA,F,4,483360,850,PA Choice F 1 NA 2347 4 Flies 1 NA,484210,PAChoice,CV,1,NA,2347,Flies 1,NA,fly
119,PA Choice M 1 NA 119 1 Flies 1 NA,PA,Choice,PA Choice M 1 NA 119 1 Flies 1 NA,M,1,279840,500,PA Choice M 1 NA 119 1 Flies 1 NA,280340,PAChoice,LAB,1,NA,119,Flies 1,NA,fly
121,PA Choice M 1 NA 121 1 Flies 1 NA,PA,Choice,PA Choice M 1 NA 121 1 Flies 1 NA,M,1,16695,50,PA Choice M 1 NA 121 1 Flies 1 NA,16745,PAChoice,LAB,1,NA,121,Flies 1,NA,fly
123,PA Choice M 1 NA 123 1 Flies 1 NA,PA,Choice,PA Choice M 1 NA 123 1 Flies 1 NA,M,1,101760,8745,PA Choice M 1 NA 123 1 Flies 1 NA,110505,PAChoice,LAB,1,NA,123,Flies 1,NA,fly
399,PA Choice M 1 NA 399 1 Flies 2 NA,PA,Choice,PA Choice M 1 NA 399 1 Flies 2 NA,M,1,457920,75,PA Choice M 1 NA 399 1 Flies 2 NA,457995,PAChoice,AAB,1,NA,399,Flies 2,NA,fly
401,PA Choice M 1 NA 401 1 Flies 2 NA,PA,Choice,PA Choice M 1 NA 401 1 Flies 2 NA,M,1,13515,2782.5,PA Choice M 1 NA 401 1 Flies 2 NA,16297.5,PAChoice,AAB,1,NA,401,Flies 2,NA,fly
547,PA Choice M 1 NA 546 1 Flies 2 NA,PA,Choice,PA Choice M 1 NA 546 1 Flies 2 NA,M,1,5565,75,PA Choice M 1 NA 546 1 Flies 2 NA,5640,PAChoice,X,1,NA,546,Flies 2,NA,fly
549,PA Choice M 1 NA 548 1 Flies 2 NA,PA,Choice,PA Choice M 1 NA 548 1 Flies 2 NA,M,1,16695,2385,PA Choice M 1 NA 548 1 Flies 2 NA,19080,PAChoice,X,1,NA,548,Flies 2,NA,fly
551,PA Choice M 1 NA 550 1 Flies 2 NA,PA,Choice,PA Choice M 1 NA 550 1 Flies 2 NA,M,1,15502.5,100,PA Choice M 1 NA 550 1 Flies 2 NA,15602.5,PAChoice,X,1,NA,550,Flies 2,NA,fly
797,PA Choice M 1 NA 796 1 Flies 3 NA,PA,Choice,PA Choice M 1 NA 796 1 Flies 3 NA,M,1,5167.5,0,PA Choice M 1 NA 796 1 Flies 3 NA,5167.5,PAChoice,G,1,NA,796,Flies 3,NA,fly
799,PA Choice M 1 NA 798 1 Flies 3 NA,PA,Choice,PA Choice M 1 NA 798 1 Flies 3 NA,M,1,127200,3975,PA Choice M 1 NA 798 1 Flies 3 NA,131175,PAChoice,G,1,NA,798,Flies 3,NA,fly
801,PA Choice M 1 NA 800 1 Flies 3 NA,PA,Choice,PA Choice M 1 NA 800 1 Flies 3 NA,M,1,8745,225,PA Choice M 1 NA 800 1 Flies 3 NA,8970,PAChoice,G,1,NA,800,Flies 3,NA,fly
53,PA Choice M 1 NA 2338 4 Flies 1 NA,PA,Choice,PA Choice M 1 NA 2338 4 Flies 1 NA,M,4,44520,700,PA Choice M 1 NA 2338 4 Flies 1 NA,45220,PAChoice,CV,1,NA,2338,Flies 1,NA,fly
57,PA Choice M 1 NA 2341 4 Flies 1 NA,PA,Choice,PA Choice M 1 NA 2341 4 Flies 1 NA,M,4,108120,375,PA Choice M 1 NA 2341 4 Flies 1 NA,108495,PAChoice,CV,1,NA,2341,Flies 1,NA,fly
317,PA Choice NA 1 NA 317 1 Diet 1 A,PA,Choice,PA Choice NA 1 NA 317 1 Diet 1 A,NA,1,29306880,0,PA Choice NA 1 NA 317 1 Diet 1 A,29306880,PAChoice,LAB,1,NA,317,Diet 1,A,diet
319,PA Choice NA 1 NA 319 1 Diet 1 A,PA,Choice,PA Choice NA 1 NA 319 1 Diet 1 A,NA,1,9158400,0,PA Choice NA 1 NA 319 1 Diet 1 A,9158400,PAChoice,LAB,1,NA,319,Diet 1,A,diet
321,PA Choice NA 1 NA 321 1 Diet 1 A,PA,Choice,PA Choice NA 1 NA 321 1 Diet 1 A,NA,1,6309120,0,PA Choice NA 1 NA 321 1 Diet 1 A,6309120,PAChoice,LAB,1,NA,321,Diet 1,A,diet
323,PA Choice NA 1 NA 323 1 Diet 1 L,PA,Choice,PA Choice NA 1 NA 323 1 Diet 1 L,NA,1,35819520,150,PA Choice NA 1 NA 323 1 Diet 1 L,35819670,PAChoice,LAB,1,NA,323,Diet 1,L,diet
325,PA Choice NA 1 NA 325 1 Diet 1 L,PA,Choice,PA Choice NA 1 NA 325 1 Diet 1 L,NA,1,56985600,175,PA Choice NA 1 NA 325 1 Diet 1 L,56985775,PAChoice,LAB,1,NA,325,Diet 1,L,diet
327,PA Choice NA 1 NA 327 1 Diet 1 L,PA,Choice,PA Choice NA 1 NA 327 1 Diet 1 L,NA,1,5902080,50,PA Choice NA 1 NA 327 1 Diet 1 L,5902130,PAChoice,LAB,1,NA,327,Diet 1,L,diet
597,PA Choice NA 1 NA 596 1 Diet 2 A,PA,Choice,PA Choice NA 1 NA 596 1 Diet 2 A,NA,1,6716160,0,PA Choice NA 1 NA 596 1 Diet 2 A,6716160,PAChoice,AAB,1,NA,596,Diet 2,A,diet
599,PA Choice NA 1 NA 598 1 Diet 2 A,PA,Choice,PA Choice NA 1 NA 598 1 Diet 2 A,NA,1,8954880,0,PA Choice NA 1 NA 598 1 Diet 2 A,8954880,PAChoice,AAB,1,NA,598,Diet 2,A,diet
601,PA Choice NA 1 NA 600 1 Diet 2 A,PA,Choice,PA Choice NA 1 NA 600 1 Diet 2 A,NA,1,4070400,0,PA Choice NA 1 NA 600 1 Diet 2 A,4070400,PAChoice,AAB,1,NA,600,Diet 2,A,diet
603,PA Choice NA 1 NA 602 1 Diet 2 L,PA,Choice,PA Choice NA 1 NA 602 1 Diet 2 L,NA,1,34191360,225,PA Choice NA 1 NA 602 1 Diet 2 L,34191585,PAChoice,AAB,1,NA,602,Diet 2,L,diet
605,PA Choice NA 1 NA 604 1 Diet 2 L,PA,Choice,PA Choice NA 1 NA 604 1 Diet 2 L,NA,1,16281600,250,PA Choice NA 1 NA 604 1 Diet 2 L,16281850,PAChoice,AAB,1,NA,604,Diet 2,L,diet
607,PA Choice NA 1 NA 606 1 Diet 2 L,PA,Choice,PA Choice NA 1 NA 606 1 Diet 2 L,NA,1,42332160,795,PA Choice NA 1 NA 606 1 Diet 2 L,42332955,PAChoice,AAB,1,NA,606,Diet 2,L,diet
749,PA Choice NA 1 NA 748 1 Diet 2 A,PA,Choice,PA Choice NA 1 NA 748 1 Diet 2 A,NA,1,6512640,0,PA Choice NA 1 NA 748 1 Diet 2 A,6512640,PAChoice,X,1,NA,748,Diet 2,A,diet
751,PA Choice NA 1 NA 750 1 Diet 2 A,PA,Choice,PA Choice NA 1 NA 750 1 Diet 2 A,NA,1,4884480,0,PA Choice NA 1 NA 750 1 Diet 2 A,4884480,PAChoice,X,1,NA,750,Diet 2,A,diet
753,PA Choice NA 1 NA 752 1 Diet 2 A,PA,Choice,PA Choice NA 1 NA 752 1 Diet 2 A,NA,1,34191360,0,PA Choice NA 1 NA 752 1 Diet 2 A,34191360,PAChoice,X,1,NA,752,Diet 2,A,diet
755,PA Choice NA 1 NA 754 1 Diet 2 L,PA,Choice,PA Choice NA 1 NA 754 1 Diet 2 L,NA,1,1628160,225,PA Choice NA 1 NA 754 1 Diet 2 L,1628385,PAChoice,X,1,NA,754,Diet 2,L,diet
757,PA Choice NA 1 NA 756 1 Diet 2 L,PA,Choice,PA Choice NA 1 NA 756 1 Diet 2 L,NA,1,5698560,325,PA Choice NA 1 NA 756 1 Diet 2 L,5698885,PAChoice,X,1,NA,756,Diet 2,L,diet
759,PA Choice NA 1 NA 758 1 Diet 2 L,PA,Choice,PA Choice NA 1 NA 758 1 Diet 2 L,NA,1,8344320,25,PA Choice NA 1 NA 758 1 Diet 2 L,8344345,PAChoice,X,1,NA,758,Diet 2,L,diet
989,PA Choice NA 1 NA 985 1 Diet 3 A,PA,Choice,PA Choice NA 1 NA 985 1 Diet 3 A,NA,1,3663360,1800,PA Choice NA 1 NA 985 1 Diet 3 A,3665160,PAChoice,G,1,NA,985,Diet 3,A,diet
991,PA Choice NA 1 NA 987 1 Diet 3 A,PA,Choice,PA Choice NA 1 NA 987 1 Diet 3 A,NA,1,407040,350,PA Choice NA 1 NA 987 1 Diet 3 A,407390,PAChoice,G,1,NA,987,Diet 3,A,diet
993,PA Choice NA 1 NA 989 1 Diet 3 A,PA,Choice,PA Choice NA 1 NA 989 1 Diet 3 A,NA,1,1424640,0,PA Choice NA 1 NA 989 1 Diet 3 A,1424640,PAChoice,G,1,NA,989,Diet 3,A,diet
995,PA Choice NA 1 NA 991 1 Diet 3 L,PA,Choice,PA Choice NA 1 NA 991 1 Diet 3 L,NA,1,2442240,0,PA Choice NA 1 NA 991 1 Diet 3 L,2442240,PAChoice,G,1,NA,991,Diet 3,L,diet
997,PA Choice NA 1 NA 993 1 Diet 3 L,PA,Choice,PA Choice NA 1 NA 993 1 Diet 3 L,NA,1,5088000,0,PA Choice NA 1 NA 993 1 Diet 3 L,5088000,PAChoice,G,1,NA,993,Diet 3,L,diet
999,PA Choice NA 1 NA 995 1 Diet 3 L,PA,Choice,PA Choice NA 1 NA 995 1 Diet 3 L,NA,1,29306880,0,PA Choice NA 1 NA 995 1 Diet 3 L,29306880,PAChoice,G,1,NA,995,Diet 3,L,diet
239,PA Choice NA 1 NA 2517 4 Diet 1 A,PA,Choice,PA Choice NA 1 NA 2517 4 Diet 1 A,NA,4,84664320,0,PA Choice NA 1 NA 2517 4 Diet 1 A,84664320,PAChoice,CV,1,NA,2517,Diet 1,A,diet
241,PA Choice NA 1 NA 2519 4 Diet 1 A,PA,Choice,PA Choice NA 1 NA 2519 4 Diet 1 A,NA,4,81408000,0,PA Choice NA 1 NA 2519 4 Diet 1 A,81408000,PAChoice,CV,1,NA,2519,Diet 1,A,diet
243,PA Choice NA 1 NA 2521 4 Diet 1 A,PA,Choice,PA Choice NA 1 NA 2521 4 Diet 1 A,NA,4,50472960,0,PA Choice NA 1 NA 2521 4 Diet 1 A,50472960,PAChoice,CV,1,NA,2521,Diet 1,A,diet
245,PA Choice NA 1 NA 2523 4 Diet 1 L,PA,Choice,PA Choice NA 1 NA 2523 4 Diet 1 L,NA,4,53729280,300,PA Choice NA 1 NA 2523 4 Diet 1 L,53729580,PAChoice,CV,1,NA,2523,Diet 1,L,diet
247,PA Choice NA 1 NA 2525 4 Diet 1 L,PA,Choice,PA Choice NA 1 NA 2525 4 Diet 1 L,NA,4,29306880,425,PA Choice NA 1 NA 2525 4 Diet 1 L,29307305,PAChoice,CV,1,NA,2525,Diet 1,L,diet
249,PA Choice NA 1 NA 2527 4 Diet 1 L,PA,Choice,PA Choice NA 1 NA 2527 4 Diet 1 L,NA,4,110714880,450,PA Choice NA 1 NA 2527 4 Diet 1 L,110715330,PAChoice,CV,1,NA,2527,Diet 1,L,diet
439,PA Control F 1 NA 439 1 Flies 2 NA,PA,Control,PA Control F 1 NA 439 1 Flies 2 NA,F,1,5565,0,PA Control F 1 NA 439 1 Flies 2 NA,5565,PAControl,AAB,1,NA,439,Flies 2,NA,fly
441,PA Control F 1 NA 441 1 Flies 2 NA,PA,Control,PA Control F 1 NA 441 1 Flies 2 NA,F,1,69960,0,PA Control F 1 NA 441 1 Flies 2 NA,69960,PAControl,AAB,1,NA,441,Flies 2,NA,fly
443,PA Control F 1 NA 443 1 Flies 2 NA,PA,Control,PA Control F 1 NA 443 1 Flies 2 NA,F,1,101760,0,PA Control F 1 NA 443 1 Flies 2 NA,101760,PAControl,AAB,1,NA,443,Flies 2,NA,fly
517,PA Control F 1 NA 516 1 Flies 2 NA,PA,Control,PA Control F 1 NA 516 1 Flies 2 NA,F,1,69960,3180,PA Control F 1 NA 516 1 Flies 2 NA,73140,PAControl,G,1,NA,516,Flies 2,NA,fly
519,PA Control F 1 NA 518 1 Flies 2 NA,PA,Control,PA Control F 1 NA 518 1 Flies 2 NA,F,1,5167.5,3180,PA Control F 1 NA 518 1 Flies 2 NA,8347.5,PAControl,G,1,NA,518,Flies 2,NA,fly
521,PA Control F 1 NA 520 1 Flies 2 NA,PA,Control,PA Control F 1 NA 520 1 Flies 2 NA,F,1,108120,325,PA Control F 1 NA 520 1 Flies 2 NA,108445,PAControl,G,1,NA,520,Flies 2,NA,fly
541,PA Control F 1 NA 540 1 Flies 2 NA,PA,Control,PA Control F 1 NA 540 1 Flies 2 NA,F,1,9540,0,PA Control F 1 NA 540 1 Flies 2 NA,9540,PAControl,LAB,1,NA,540,Flies 2,NA,fly
543,PA Control F 1 NA 542 1 Flies 2 NA,PA,Control,PA Control F 1 NA 542 1 Flies 2 NA,F,1,6360,1192.5,PA Control F 1 NA 542 1 Flies 2 NA,7552.5,PAControl,LAB,1,NA,542,Flies 2,NA,fly
545,PA Control F 1 NA 544 1 Flies 2 NA,PA,Control,PA Control F 1 NA 544 1 Flies 2 NA,F,1,2385,125,PA Control F 1 NA 544 1 Flies 2 NA,2510,PAControl,LAB,1,NA,544,Flies 2,NA,fly
767,PA Control F 1 NA 766 1 Flies 3 NA,PA,Control,PA Control F 1 NA 766 1 Flies 3 NA,F,1,2594880,0,PA Control F 1 NA 766 1 Flies 3 NA,2594880,PAControl,X,1,NA,766,Flies 3,NA,fly
769,PA Control F 1 NA 768 1 Flies 3 NA,PA,Control,PA Control F 1 NA 768 1 Flies 3 NA,F,1,1399200,0,PA Control F 1 NA 768 1 Flies 3 NA,1399200,PAControl,X,1,NA,768,Flies 3,NA,fly
771,PA Control F 1 NA 770 1 Flies 3 NA,PA,Control,PA Control F 1 NA 770 1 Flies 3 NA,F,1,508800,0,PA Control F 1 NA 770 1 Flies 3 NA,508800,PAControl,X,1,NA,770,Flies 3,NA,fly
7,PA Control F 1 NA 2292 4 Flies 1 NA,PA,Control,PA Control F 1 NA 2292 4 Flies 1 NA,F,4,143100,0,PA Control F 1 NA 2292 4 Flies 1 NA,143100,PAControl,CV,1,NA,2292,Flies 1,NA,fly
9,PA Control F 1 NA 2294 4 Flies 1 NA,PA,Control,PA Control F 1 NA 2294 4 Flies 1 NA,F,4,44520,50,PA Control F 1 NA 2294 4 Flies 1 NA,44570,PAControl,CV,1,NA,2294,Flies 1,NA,fly
11,PA Control F 1 NA 2296 4 Flies 1 NA,PA,Control,PA Control F 1 NA 2296 4 Flies 1 NA,F,4,79500,0,PA Control F 1 NA 2296 4 Flies 1 NA,79500,PAControl,CV,1,NA,2296,Flies 1,NA,fly
433,PA Control M 1 NA 433 1 Flies 2 NA,PA,Control,PA Control M 1 NA 433 1 Flies 2 NA,M,1,7552.5,0,PA Control M 1 NA 433 1 Flies 2 NA,7552.5,PAControl,AAB,1,NA,433,Flies 2,NA,fly
435,PA Control M 1 NA 435 1 Flies 2 NA,PA,Control,PA Control M 1 NA 435 1 Flies 2 NA,M,1,8745,0,PA Control M 1 NA 435 1 Flies 2 NA,8745,PAControl,AAB,1,NA,435,Flies 2,NA,fly
437,PA Control M 1 NA 437 1 Flies 2 NA,PA,Control,PA Control M 1 NA 437 1 Flies 2 NA,M,1,9540,0,PA Control M 1 NA 437 1 Flies 2 NA,9540,PAControl,AAB,1,NA,437,Flies 2,NA,fly
511,PA Control M 1 NA 510 1 Flies 2 NA,PA,Control,PA Control M 1 NA 510 1 Flies 2 NA,M,1,82680,250,PA Control M 1 NA 510 1 Flies 2 NA,82930,PAControl,G,1,NA,510,Flies 2,NA,fly
513,PA Control M 1 NA 512 1 Flies 2 NA,PA,Control,PA Control M 1 NA 512 1 Flies 2 NA,M,1,12720,325,PA Control M 1 NA 512 1 Flies 2 NA,13045,PAControl,G,1,NA,512,Flies 2,NA,fly
515,PA Control M 1 NA 514 1 Flies 2 NA,PA,Control,PA Control M 1 NA 514 1 Flies 2 NA,M,1,12322.5,25,PA Control M 1 NA 514 1 Flies 2 NA,12347.5,PAControl,G,1,NA,514,Flies 2,NA,fly
535,PA Control M 1 NA 534 1 Flies 2 NA,PA,Control,PA Control M 1 NA 534 1 Flies 2 NA,M,1,17887.5,200,PA Control M 1 NA 534 1 Flies 2 NA,18087.5,PAControl,LAB,1,NA,534,Flies 2,NA,fly
537,PA Control M 1 NA 536 1 Flies 2 NA,PA,Control,PA Control M 1 NA 536 1 Flies 2 NA,M,1,8745,0,PA Control M 1 NA 536 1 Flies 2 NA,8745,PAControl,LAB,1,NA,536,Flies 2,NA,fly
539,PA Control M 1 NA 538 1 Flies 2 NA,PA,Control,PA Control M 1 NA 538 1 Flies 2 NA,M,1,11130,0,PA Control M 1 NA 538 1 Flies 2 NA,11130,PAControl,LAB,1,NA,538,Flies 2,NA,fly
761,PA Control M 1 NA 760 1 Flies 3 NA,PA,Control,PA Control M 1 NA 760 1 Flies 3 NA,M,1,92220,0,PA Control M 1 NA 760 1 Flies 3 NA,92220,PAControl,X,1,NA,760,Flies 3,NA,fly
